order_id,order_date,dispatch_date,delivery_date,seller_id,product_category,price,quantity,warehouse_zone,customer_rating,review_text,sentiment_score,return_flag,complaint_code,delivery_method,customer_region,sentiment_label,delivery_delay,review_length,duplicate_review,suspicious_review,return_rate,average_rating,complaint_rate,avg_delay,seller_risk_score
O00000,2025-05-28,2025-05-30,2025-06-06,S033,Fashion,193.52,1.0,Kano,4.0,Packaging could be better but the item works fine.,0.458333333,No,No Complaint,Express,North Central,Positive,7,50,False,False,0.041666666666666664,3.1666666666666665,1.0,5.208333333333333,0.43733901515151513
O00001,2025-06-24,2025-06-26,2025-07-03,S018,Groceries,86.45,3.0,Lagos,3.0,Packaging could be better but the item works fine.,0.458333333,No,No Complaint,Standard,Volta,Positive,7,50,True,True,0.05,3.2,1.0,3.0,0.43172727272727274
O00002,2025-06-24,2025-06-06,2025-06-07,S036,Home & Living,80.0,3.0,Kumasi,4.0,"It's okay, not too bad but not amazing either.",-0.166666667,No,No Complaint,Standard,Ashanti,Negative,1,46,False,False,0.11764705882352941,3.7058823529411766,1.0,4.764705882352941,0.4462433155080214
O00003,2025-06-24,2025-06-24,2025-06-28,S001,Health,469.89,2.0,Kano,4.0,Excellent quality and affordable price. Highly recommend.,0.58,No,No Complaint,Pickup,North Central,Positive,4,57,False,False,0.0,3.2777777777777777,1.0,6.722222222222222,0.4245833333333333
O00004,2025-06-24,2025-04-14,2025-04-22,S024,Groceries,309.71,1.0,Accra,3.0,Item arrived in perfect condition and works well.,1.0,No,No Complaint,Standard,Greater Accra,Positive,8,49,False,False,0.05263157894736842,3.526315789473684,1.0,4.421052631578948,0.42770334928229664
O00005,2025-06-24,2025-05-10,2025-05-12,S003,Health,309.81,2.0,Kumasi,3.0,"Fast delivery, item exactly as described. Very satisfied!",0.420833333,No,No Complaint,Pickup,Volta,Positive,2,57,False,False,0.0,3.4210526315789473,1.0,4.684210526315789,0.4133373205741626
O00006,2025-05-15,2025-05-17,2025-05-21,S034,Health,491.78,1.0,Accra,4.0,Low quality. Would not recommend at all.,0.0,No,No Complaint,Express,Greater Accra,Neutral,4,40,False,False,0.05,3.3,1.0,3.25,0.42957954545454546
O00007,2025-05-18,2025-05-19,2025-05-22,S015,Groceries,93.56,3.0,Kumasi,5.0,Arrived late and the item looks used.,-0.3,No,No Complaint,Standard,Greater Accra,Negative,3,37,False,False,0.0,3.823529411764706,1.0,4.176470588235294,0.3995320855614973
O00008,2025-06-11,2025-06-11,2025-06-20,S042,Toys,286.01,2.0,Kumasi,1.0,Item arrived in perfect condition and works well.,1.0,No,No Complaint,Express,Ashanti,Positive,9,49,True,True,0.0,3.238095238095238,1.0,4.333333333333333,0.4176298701298701
O00009,2025-05-09,2025-05-12,2025-05-19,S023,Home & Living,225.67,3.0,Lagos,1.0,Arrived late and the item looks used.,-0.3,No,No Complaint,Pickup,Volta,Negative,7,37,True,True,0.0,3.2941176470588234,1.0,5.352941176470588,0.4194251336898395
O00010,2025-04-24,2025-04-27,2025-04-28,S023,Health,136.8,4.0,Kumasi,3.0,"Met my expectations, nothing more.",0.5,No,No Complaint,Pickup,Greater Accra,Positive,1,34,False,False,0.0,3.2941176470588234,1.0,5.352941176470588,0.4194251336898395
O00011,2025-05-31,2025-06-04,2025-06-05,S011,Health,111.89,4.0,Accra,4.0,"Just received it, will see how it performs over time.",0.0,No,No Complaint,Express,South West,Neutral,1,53,False,False,0.0,3.642857142857143,1.0,5.285714285714286,0.4087337662337662
O00012,2025-05-02,2025-05-05,2025-05-12,S005,Fashion,470.35,2.0,Lagos,4.0,"Absolutely love this product, great value for money.",0.65,No,No Complaint,Pickup,South East,Positive,7,52,False,False,0.037037037037037035,3.3333333333333335,1.0,5.222222222222222,0.43076599326599324
O00013,2025-05-16,2025-05-20,2025-05-21,S046,Electronics,265.21,2.0,Lagos,4.0,"Just received it, will see how it performs over time.",0.0,No,No Complaint,Pickup,South East,Neutral,1,53,True,True,0.058823529411764705,3.4705882352941178,1.0,3.9411764705882355,0.42990641711229943
O00014,2025-06-20,2025-06-23,2025-07-01,S049,Home & Living,297.51,1.0,Kumasi,3.0,Item arrived in perfect condition and works well.,1.0,No,No Complaint,Standard,Volta,Positive,8,49,True,True,0.0,3.3666666666666667,1.0,4.733333333333333,0.4151363636363636
O00015,2025-06-12,2025-06-12,2025-06-19,S045,Toys,90.98,1.0,Kano,3.0,Very disappointed. Not what was shown online.,-0.975,No,No Complaint,Pickup,South East,Negative,7,45,False,False,0.0,3.4545454545454546,1.0,5.454545454545454,0.4149586776859504
O00016,2025-04-16,2025-04-18,2025-04-20,S025,Electronics,153.81,3.0,Kumasi,4.0,No review,0.09009054318913483,No,No Complaint,Standard,Ashanti,Neutral,2,9,False,True,0.1,3.05,1.0,5.1,0.4608863636363636
O00017,2025-04-18,2025-04-20,2025-04-24,S044,Electronics,367.21,1.0,Accra,5.0,No review,0.09009054318913483,No,No Complaint,Express,North Central,Neutral,4,9,True,True,0.0,3.4134626100523793,1.0,3.9444444444444446,0.4110430913953983
O00018,2025-06-19,2025-06-19,2025-06-26,S013,Groceries,329.03,4.0,Lagos,3.0,No review,0.09009054318913483,No,No Complaint,Pickup,South West,Neutral,7,9,True,True,0.05,3.5,1.0,5.0,0.4295454545454545
O00019,2025-04-17,2025-04-21,2025-04-23,S030,Groceries,56.75,3.0,Lagos,4.0,No review,0.09009054318913483,No,No Complaint,Standard,Greater Accra,Neutral,2,9,True,True,0.04,3.24,1.0,4.44,0.4319363636363636
O00020,2025-06-15,2025-06-15,2025-06-17,S035,Groceries,144.61,3.0,Kumasi,2.0,No review,0.09009054318913483,No,No Complaint,Express,Ashanti,Neutral,2,9,True,True,0.0,3.0869565217391304,1.0,3.260869565217391,0.4185079051383399
O00021,2025-04-08,2025-04-10,2025-04-18,S050,Toys,382.78,2.0,Lagos,4.0,"It's okay, not too bad but not amazing either.",-0.166666667,No,No Complaint,Pickup,North Central,Negative,8,46,True,True,0.0,4.181818181818182,1.0,4.681818181818182,0.3905061983471074
O00022,2025-05-13,2025-05-17,2025-05-19,S026,Home & Living,64.34,4.0,Lagos,1.0,Item arrived in perfect condition and works well.,1.0,No,No Complaint,Pickup,Volta,Positive,2,49,True,True,0.0,3.4705882352941178,1.0,4.529411764705882,0.4113235294117647
O00023,2025-06-23,2025-06-26,2025-06-30,S028,Health,164.03,4.0,Lagos,3.0,Very disappointed. Not what was shown online.,-0.975,No,No Complaint,Standard,South West,Negative,4,45,True,True,0.0,3.4545454545454546,1.0,3.8181818181818183,0.4093801652892562
O00024,2025-05-02,2025-05-06,2025-05-09,S043,Toys,211.09,3.0,Accra,5.0,"Delivery was average, product as expected.",-0.125,No,No Complaint,Pickup,South West,Negative,3,42,False,False,0.0,3.9444444444444446,1.0,3.7222222222222223,0.3943560606060606
O00025,2025-06-23,2025-06-26,2025-06-27,S004,Home & Living,303.44,3.0,Lagos,4.0,Fake product and horrible packaging.,-0.75,No,No Complaint,Express,South East,Negative,1,36,False,False,0.07692307692307693,3.6923076923076925,1.0,2.8461538461538463,0.42585664335664336
O00026,2025-05-23,2025-05-26,2025-05-29,S026,Electronics,154.86,1.0,Lagos,5.0,"Absolutely love this product, great value for money.",0.65,No,No Complaint,Pickup,Greater Accra,Positive,3,52,True,True,0.0,3.4705882352941178,1.0,4.529411764705882,0.4113235294117647
O00027,2025-06-08,2025-06-11,2025-06-19,S003,Home & Living,274.28,2.0,Accra,3.0,Terrible experience. Product was broken.,-0.7,No,No Complaint,Express,Volta,Negative,8,40,False,False,0.0,3.4210526315789473,1.0,4.684210526315789,0.4133373205741626
O00028,2025-05-25,2025-05-27,2025-06-04,S023,Home & Living,63.93,1.0,Kumasi,5.0,Arrived late and the item looks used.,-0.3,No,No Complaint,Express,South West,Negative,8,37,True,True,0.0,3.2941176470588234,1.0,5.352941176470588,0.4194251336898395
O00029,2025-05-04,2025-05-06,2025-05-14,S045,Home & Living,431.76,3.0,Lagos,4.0,Item arrived in perfect condition and works well.,1.0,No,No Complaint,Pickup,South East,Positive,8,49,True,True,0.0,3.4545454545454546,1.0,5.454545454545454,0.4149586776859504
O00030,2025-06-03,2025-06-06,2025-06-13,S047,Health,349.29,2.0,Lagos,5.0,Low quality. Would not recommend at all.,0.0,No,No Complaint,Pickup,South West,Neutral,7,40,True,True,0.0,3.4,1.0,3.7333333333333334,0.4107272727272727
O00031,2025-04-23,2025-04-23,2025-04-26,S049,Health,168.37,4.0,Accra,3.0,"Fast delivery, item exactly as described. Very satisfied!",0.420833333,No,No Complaint,Standard,North Central,Positive,3,57,True,True,0.0,3.3666666666666667,1.0,4.733333333333333,0.4151363636363636
O00032,2025-05-06,2025-05-09,2025-05-15,S023,Electronics,486.17,4.0,Lagos,4.0,Superb service and product. Will buy again.,1.0,No,No Complaint,Express,South East,Positive,6,43,False,False,0.0,3.2941176470588234,1.0,5.352941176470588,0.4194251336898395
O00033,2025-05-13,2025-05-13,2025-05-13,S022,Home & Living,157.43,1.0,Kumasi,5.0,"Delivery was average, product as expected.",-0.125,No,No Complaint,Pickup,Ashanti,Negative,0,42,True,True,0.05555555555555555,3.2777777777777777,1.0,4.277777777777778,0.43569444444444444
O00034,2025-05-30,2025-06-03,2025-06-03,S031,Fashion,211.41,3.0,Lagos,4.0,Item arrived in perfect condition and works well.,1.0,No,No Complaint,Pickup,South East,Positive,0,49,True,True,0.0,3.611111111111111,1.0,3.888888888888889,0.4049242424242424
O00035,2025-05-19,2025-05-22,2025-05-31,S017,Health,343.55,1.0,Kumasi,5.0,Very disappointed. Not what was shown online.,-0.975,No,No Complaint,Express,South West,Negative,9,45,True,True,0.0,3.7907251165260485,1.0,4.705882352941177,0.4023210272528816
O00036,2025-06-19,2025-06-21,2025-06-28,S036,Fashion,128.61,4.0,Kano,3.0,"It's okay, not too bad but not amazing either.",-0.166666667,No,No Complaint,Express,Greater Accra,Negative,7,46,True,True,0.11764705882352941,3.7058823529411766,1.0,4.764705882352941,0.4462433155080214
O00037,2025-05-08,2025-05-12,2025-05-15,S003,Groceries,366.83,4.0,Kumasi,5.0,"Fast delivery, item exactly as described. Very satisfied!",0.420833333,No,No Complaint,Pickup,Ashanti,Positive,3,57,True,True,0.0,3.4210526315789473,1.0,4.684210526315789,0.4133373205741626
O00038,2025-05-22,2025-05-22,2025-05-30,S019,Electronics,205.42,3.0,Kumasi,3.0,Excellent quality and affordable price. Highly recommend.,0.58,No,No Complaint,Standard,Ashanti,Positive,8,57,True,True,0.045454545454545456,3.272727272727273,1.0,5.909090909090909,0.4378719008264463
O00039,2025-04-13,2025-04-15,2025-04-18,S014,Electronics,101.39,1.0,Kumasi,3.0,"Delivery was average, product as expected.",-0.125,No,No Complaint,Pickup,Volta,Negative,3,42,True,True,0.04,3.48,1.0,3.2,0.42050909090909094
O00040,2025-06-01,2025-06-03,2025-06-05,S004,Home & Living,117.92,2.0,Kano,3.0,Terrible experience. Product was broken.,-0.7,No,No Complaint,Standard,Greater Accra,Negative,2,40,True,True,0.07692307692307693,3.6923076923076925,1.0,2.8461538461538463,0.42585664335664336
O00041,2025-06-02,2025-06-02,2025-06-09,S021,Groceries,57.13,1.0,Kano,3.0,No review,0.09009054318913483,No,No Complaint,Pickup,Ashanti,Neutral,7,9,True,True,0.07142857142857142,3.5,1.0,4.428571428571429,0.4350974025974026
O00042,2025-06-05,2025-06-07,2025-06-15,S008,Electronics,469.0,1.0,Lagos,2.0,Very disappointed. Not what was shown online.,-0.975,No,No Complaint,Standard,North Central,Negative,8,45,True,True,0.0,3.35,1.0,4.3,0.41415909090909087
O00043,2025-06-16,2025-06-19,2025-06-28,S037,Electronics,439.9,3.0,Kumasi,5.0,"It's okay, not too bad but not amazing either.",-0.166666667,No,No Complaint,Standard,North Central,Negative,9,46,True,True,0.0,3.8260869565217392,1.0,4.608695652173913,0.4009288537549407
O00044,2025-06-23,2025-06-24,2025-06-24,S033,Toys,263.15,1.0,Accra,1.0,Item arrived in perfect condition and works well.,1.0,No,No Complaint,Express,North Central,Positive,0,49,True,True,0.041666666666666664,3.1666666666666665,1.0,5.208333333333333,0.43733901515151513
O00045,2025-05-05,2025-05-05,2025-05-13,S022,Health,451.2,3.0,Accra,3.0,"Just received it, will see how it performs over time.",0.0,No,No Complaint,Standard,South West,Neutral,8,53,True,True,0.05555555555555555,3.2777777777777777,1.0,4.277777777777778,0.43569444444444444
O00046,2025-04-20,2025-04-23,2025-04-30,S047,Electronics,365.72,3.0,Kumasi,3.0,"Absolutely love this product, great value for money.",0.65,No,No Complaint,Standard,Volta,Positive,7,52,True,True,0.0,3.4,1.0,3.7333333333333334,0.4107272727272727
